id,title,media_type,start_date
59845,Kaoru Hana wa Rin to Saku,tv,2025-07-06
49818,Guimi Zhi Zhu: Xiaochou Pian,ona,2025-06-28
60489,Takopii no Genzai,ona,2025-06-28
21,One Piece,tv,1999-10-20
53512,Busu ni Hanataba wo.,tv,2025-07-04
56907,Koujo Denka no Kateikyoushi,tv,2025-07-06
59619,Ame to Kimi to,tv,2025-07-06
59421,Zutaboro Reijou wa Ane no Moto Konyakusha ni Dekiai sareru,tv,2025-07-05
59632,Mattaku Saikin no Tantei to Kitara,tv,2025-07-01
8687,Doraemon (2005),tv,2005-04-22
59898,City The Animation,tv,2025-07-07
56700,Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou 2nd Season,tv,2025-07-02
61339,Jibaku Shounen Hanako-kun 2 Part 2,tv,2025-07-06
59130,Isekai Mokushiroku Mynoghra: Hametsu no Bunmei de Hajimeru Sekai Seifuku,tv,2025-07-06
56693,Watari-kun no xx ga Houkai Sunzen,tv,2025-07-05
58749,Arknights: Rise from Ember,tv,2025-07-04
59689,Game Center Shoujo to Ibunka Kouryuu,tv,2025-07-06
6149,Chibi Maruko-chan (1995),tv,1995-01-08
1199,Nintama Rantarou,tv,1993-04-10
56566,Beyblade X,tv,2023-10-06
60407,Kimi to Idol Precure♪,tv,2025-02-02
60603,Puniru wa Kawaii Slime 2nd Season,tv,2025-07-06
1960,Sore Ike! Anpanman,tv,1988-10-03
60697,Fermat no Ryouri,tv,2025-07-05
53907,Tom to Jerry Gokko,tv,2022-11-11
59161,Bad Girl,tv,2025-07-06
58812,Shin Samurai-den Yaiba,tv,2025-04-05
59342,Jigoku Sensei Nube (2025),tv,2025-07-02
60316,Busamen Gachi Fighter,tv,2025-07-06
60260,Hotel Inhumans,tv,2025-07-06
60523,Tsuihousha Shokudou e Youkoso!,tv,2025-07-03
59791,Ruri no Houseki,tv,2025-07-06
58390,Yofukashi no Uta Season 2,tv,2025-07-04
57433,Seishun Buta Yarou wa Santa Claus no Yume wo Minai,tv,2025-07-05
59597,Witch Watch,tv,2025-04-06
60543,Dandadan 2nd Season,tv,2025-07-04
49778,Kijin Gentoushou,tv,2025-03-31
966,Crayon Shin-chan,tv,1992-04-13
58913,Hikaru ga Shinda Natsu,tv,2025-07-06
50694,Summer Pockets,tv,2025-04-07
59459,Silent Witch: Chinmoku no Majo no Kakushigoto,tv,2025-07-05
59062,Gachiakuta,tv,2025-07-06
59205,Clevatess: Majuu no Ou to Akago to Shikabane no Yuusha,tv,2025-07-02
60334,Anne Shirley,tv,2025-04-05
53065,Sono Bisque Doll wa Koi wo Suru Season 2,tv,2025-07-06
235,Meitantei Conan,tv,1996-01-08
53876,Pokemon (2023),tv,2023-04-14
60535,Everyday Host,tv,2025-04-05
60401,Uchuujin MuuMuu,tv,2025-04-10
58957,9: Ruler's Crown,tv,2025-07-05
42295,Fushigi Dagashiya: Zenitendou,tv,2020-09-08
61274,Ginga Tokkyuu Milky☆Subway,tv,2025-07-03
32353,Bonobono (TV 2016),tv,2016-04-02
50418,Ninjala (TV),tv,2022-01-08
58395,Neko ni Tensei shita Ojisan,tv,2024-10-07
4459,Ojarumaru,tv,1998-10-05
59078,Princession Orchestra,tv,2025-04-06
53397,Tsuyokute New Saga,tv,2025-07-03
37096,Puzzle & Dragon,tv,2018-04-02
2406,Sazae-san,tv,1969-10-05
60732,Mizu Zokusei no Mahoutsukai,tv,2025-07-04
59277,"Kanojo, Okarishimasu 4th Season",tv,2025-07-05
8336,Hanakappa,tv,2010-03-29
56420,Haigakura,tv,2024-10-07
60506,Araiguma Calcal-dan,tv,2025-04-04
61765,Chibi Godzilla no Gyakushuu 3rd Season,tv,2025-07-02
60596,Sai-Kyo-Oh! Zukan: The Ultimate Tournament,tv,2025-04-06
61621,Yun Shen Buzhi Meng,ona,2025-07-05
61699,Tamala 2030: A Punk Cat in Dark,movie,2025-07-20
57357,Shuwawan!,tv,2023-03-22
60677,Minimini Minini,tv,2025-01-04
58604,Youkoso Ninchishou Sekai e,tv,2022-08-14
59732,Pochars,tv,2024-10-09
41458,Origami Ninja Koyankinte,tv,2020-04-07
58631,Oshiri Tantei 9th Season,tv,2025-04-05
60586,Kaiju Ditan Mai Dali,ona,2025-07-29
54667,Mukashibanashi no Oheya: Tsutaetai Nihon Mukashibanashi,tv,2020-06-14
60947,Nmeneko,tv,2025-04-04
53408,I Love Me 2nd Season,tv,2022-10-23
61300,Sumikko Gurashi: Koko ga Ochitsukun desu,tv,2025-04-04
59409,Ohayou! Unko-sensei,tv,2024-07-26
38099,Pakkororin,tv,2011-03-28
61617,Lang Lang Shan Xiao Yaoguai,movie,2025-08-02
22669,Gohan Kaijuu Pap,tv,2011-04-25
60917,Ahobsan Sup: Gisaenghon,movie,2025-08
59752,Warau Red List,tv,2024-08-14
60563,Ye de Mingming Shu,ona,2025-08-14
61731,Gakkou de wa Oshiete Kurenai Taisetsu na Koto,tv,2025-07-05
61948,Zhege Nianji Huan Neng Dang Daxia Ma 2nd Season,ona,2025-09-10
61954,Xi Yangyang Yu Hui Tailang: Kuang Ye Xin Yuzhou,tv,2025-07-04
61960,Turning Mecard God,tv,2025-04-12
61946,Mirai Campanella,music,2025-07-01
61961,Kakushouron,music,2025-07-01
61618,Wo Wei Dao Zong,ona,2025-07-10
61945,Aru Mirai yori Ai wo Komete,music,2025-07-01
61951,Ruguo Lishi Shi Yiqun Miao: Yuan Mo Ming Chu Pian,ona,2025-07-20
61949,Xi Yangyang Yu Hui Tailang: Yiguo Poxiao,movie,2025-07-26
61994,Azarashi no Eru Aru,ona,2025-07-01
61972,Parco x Ginga Tokkyuu Milky☆Subway,pv,2025-07-03
61953,Zhao Lin de Tanxian Riji 2,ona,2025-07-10
